Student ID,student_name,gender,year,school_name,reading_score,maths_score,School ID,type,size,budget,spending_bins
78,Jason Thompson,M,12,Huang High School,62,87,0,Government,2917,1910635,$645-680
79,Elizabeth Mckinney,F,9,Huang High School,98,78,0,Government,2917,1910635,$645-680
80,Jessica Bailey,F,10,Huang High School,77,73,0,Government,2917,1910635,$645-680
81,Lisa Frye,F,12,Huang High School,87,73,0,Government,2917,1910635,$645-680
82,Lindsey Baker,F,11,Huang High School,54,98,0,Government,2917,1910635,$645-680
83,Lisa Ramirez,F,12,Huang High School,58,68,0,Government,2917,1910635,$645-680
84,Joseph Butler,M,10,Huang High School,70,68,0,Government,2917,1910635,$645-680
85,Tina Lynch,F,10,Huang High School,67,42,0,Government,2917,1910635,$645-680
86,Leah Benitez,F,10,Huang High School,94,50,0,Government,2917,1910635,$645-680
87,Elizabeth Parker,F,10,Huang High School,71,57,0,Government,2917,1910635,$645-680
88,Melissa Hunter,F,10,Huang High School,41,67,0,Government,2917,1910635,$645-680
89,Miss Madison Everett,F,11,Huang High School,92,61,0,Government,2917,1910635,$645-680
90,Ronald Garcia,M,9,Huang High School,80,47,0,Government,2917,1910635,$645-680
91,Mark Cherry,M,10,Huang High School,68,39,0,Government,2917,1910635,$645-680
92,Ryan Stokes,M,9,Huang High School,86,39,0,Government,2917,1910635,$645-680
93,Isaiah Maldonado,M,10,Huang High School,62,47,0,Government,2917,1910635,$645-680
94,Micheal Dennis,M,12,Huang High School,44,48,0,Government,2917,1910635,$645-680
95,Kevin Martinez,M,11,Huang High School,43,89,0,Government,2917,1910635,$645-680
96,Jessica Smith,F,9,Huang High School,55,49,0,Government,2917,1910635,$645-680
97,Dawn Trujillo,F,11,Huang High School,49,89,0,Government,2917,1910635,$645-680
98,Virginia Ramirez MD,F,10,Huang High School,66,95,0,Government,2917,1910635,$645-680
99,Marc Hernandez,M,10,Huang High School,89,66,0,Government,2917,1910635,$645-680
100,Jose Gonzalez,M,12,Huang High School,48,46,0,Government,2917,1910635,$645-680
101,Jason Dennis,M,10,Huang High School,68,40,0,Government,2917,1910635,$645-680
102,Gary Morris,M,11,Huang High School,82,99,0,Government,2917,1910635,$645-680
103,William Mcdonald,M,12,Huang High School,43,51,0,Government,2917,1910635,$645-680
104,Michael Savage,M,9,Huang High School,46,69,0,Government,2917,1910635,$645-680
105,Alexis Todd,F,11,Huang High School,44,61,0,Government,2917,1910635,$645-680
106,David Hansen,M,10,Huang High School,83,47,0,Government,2917,1910635,$645-680
107,Steven Mendez,M,12,Huang High School,44,94,0,Government,2917,1910635,$645-680
108,Ryan Lynch,M,12,Huang High School,76,59,0,Government,2917,1910635,$645-680
109,Timothy Marks,M,9,Huang High School,51,45,0,Government,2917,1910635,$645-680
110,Alexander Johns,M,10,Huang High School,95,65,0,Government,2917,1910635,$645-680
111,Kenneth Chavez,M,9,Huang High School,81,84,0,Government,2917,1910635,$645-680
112,Dennis Williams,M,10,Huang High School,56,52,0,Government,2917,1910635,$645-680
113,Michael Roy,M,12,Huang High School,79,76,0,Government,2917,1910635,$645-680
114,Richard Ryan,M,12,Huang High School,79,52,0,Government,2917,1910635,$645-680
115,Matthew Reyes,M,12,Huang High School,84,68,0,Government,2917,1910635,$645-680
116,Stephanie Ward,F,11,Huang High School,58,42,0,Government,2917,1910635,$645-680
117,Christopher Tucker,M,10,Huang High School,85,66,0,Government,2917,1910635,$645-680
118,Daniel Jones,M,12,Huang High School,95,61,0,Government,2917,1910635,$645-680
119,Devin Craig,M,10,Huang High School,61,46,0,Government,2917,1910635,$645-680
120,Erin Prince,F,12,Huang High School,73,95,0,Government,2917,1910635,$645-680
121,Bernard Ortiz,M,11,Huang High School,51,87,0,Government,2917,1910635,$645-680
122,Nicole Miller,F,10,Huang High School,46,62,0,Government,2917,1910635,$645-680
123,Christopher Fritz,M,9,Huang High School,42,78,0,Government,2917,1910635,$645-680
124,Bonnie Mckinney,F,11,Huang High School,91,77,0,Government,2917,1910635,$645-680
125,Troy Nelson,M,11,Huang High School,82,46,0,Government,2917,1910635,$645-680
126,Jennifer Lee,F,12,Huang High School,74,41,0,Government,2917,1910635,$645-680
127,Ronald Ward,M,10,Huang High School,58,46,0,Government,2917,1910635,$645-680
128,Nathaniel Hampton,M,11,Huang High School,87,71,0,Government,2917,1910635,$645-680
129,Michael Travis,M,11,Huang High School,52,99,0,Government,2917,1910635,$645-680
130,James Taylor,M,9,Huang High School,78,45,0,Government,2917,1910635,$645-680
131,Thomas Strickland,M,9,Huang High School,46,69,0,Government,2917,1910635,$645-680
132,Brittany Jackson,F,9,Huang High School,98,42,0,Government,2917,1910635,$645-680
133,Marisa Lowe,F,9,Huang High School,40,76,0,Government,2917,1910635,$645-680
134,Nicole Thomas,F,9,Huang High School,78,86,0,Government,2917,1910635,$645-680
135,Matthew Rodriguez,M,12,Huang High School,53,41,0,Government,2917,1910635,$645-680
136,Kent Fernandez,M,12,Huang High School,51,98,0,Government,2917,1910635,$645-680
137,Michelle Martin,F,12,Huang High School,44,45,0,Government,2917,1910635,$645-680
138,John Sparks,M,9,Huang High School,94,66,0,Government,2917,1910635,$645-680
139,Ann Blake,F,11,Huang High School,74,68,0,Government,2917,1910635,$645-680
140,Melissa Miller,F,12,Huang High School,87,47,0,Government,2917,1910635,$645-680
141,Steven Houston,M,9,Huang High School,70,69,0,Government,2917,1910635,$645-680
142,Kristen Anderson,F,11,Huang High School,75,67,0,Government,2917,1910635,$645-680
143,Cory Jones,M,11,Huang High School,99,61,0,Government,2917,1910635,$645-680
144,Jennifer Mora,F,10,Huang High School,83,53,0,Government,2917,1910635,$645-680
145,Dennis Griffin,M,9,Huang High School,54,72,0,Government,2917,1910635,$645-680
146,Darryl Brown,M,10,Huang High School,48,58,0,Government,2917,1910635,$645-680
147,Martin Mosley,M,10,Huang High School,80,75,0,Government,2917,1910635,$645-680
148,Joyce Diaz,F,10,Huang High School,50,81,0,Government,2917,1910635,$645-680
149,Jeffrey Rose,M,12,Huang High School,68,89,0,Government,2917,1910635,$645-680
150,Jamie Moreno,F,9,Huang High School,96,57,0,Government,2917,1910635,$645-680
151,Catherine Williams,F,9,Huang High School,88,87,0,Government,2917,1910635,$645-680
152,Lauren Byrd,F,11,Huang High School,84,73,0,Government,2917,1910635,$645-680
153,Vanessa Frazier,F,10,Huang High School,58,40,0,Government,2917,1910635,$645-680
154,Stephen Bryant,M,11,Huang High School,73,50,0,Government,2917,1910635,$645-680
155,Lawrence Liu,M,12,Huang High School,68,78,0,Government,2917,1910635,$645-680
156,Joseph Larsen,M,9,Huang High School,44,90,0,Government,2917,1910635,$645-680
157,Susan Collier,F,11,Huang High School,83,94,0,Government,2917,1910635,$645-680
158,Meagan Jensen,F,9,Huang High School,60,60,0,Government,2917,1910635,$645-680
159,Julie Harper,F,12,Huang High School,71,41,0,Government,2917,1910635,$645-680
160,Meghan Carroll,F,12,Huang High School,85,72,0,Government,2917,1910635,$645-680
161,Wanda Horton,F,11,Huang High School,89,44,0,Government,2917,1910635,$645-680
162,Mary Campbell,F,10,Huang High School,58,69,0,Government,2917,1910635,$645-680
163,Jennifer Rodgers,F,11,Huang High School,98,39,0,Government,2917,1910635,$645-680
164,Heather Cooper,F,12,Huang High School,79,50,0,Government,2917,1910635,$645-680
165,Ryan Perez,M,11,Huang High School,53,87,0,Government,2917,1910635,$645-680
166,Ryan Cox,M,12,Huang High School,87,97,0,Government,2917,1910635,$645-680
167,Darren Zavala,M,10,Huang High School,52,97,0,Government,2917,1910635,$645-680
168,Joseph Morales III,M,10,Huang High School,94,57,0,Government,2917,1910635,$645-680
169,Aaron West,M,10,Huang High School,73,84,0,Government,2917,1910635,$645-680
170,James Combs,M,10,Huang High School,86,75,0,Government,2917,1910635,$645-680
171,Curtis Garner,M,10,Huang High School,64,88,0,Government,2917,1910635,$645-680
172,Sarah Miller,F,10,Huang High School,51,89,0,Government,2917,1910635,$645-680
173,Samantha Thomas,F,10,Huang High School,57,91,0,Government,2917,1910635,$645-680
174,Robert Atkins,M,9,Huang High School,76,77,0,Government,2917,1910635,$645-680
175,Alexis Crawford,M,10,Huang High School,74,69,0,Government,2917,1910635,$645-680
176,Ryan Maddox,M,11,Huang High School,86,86,0,Government,2917,1910635,$645-680
177,Jonathan Meyer,M,9,Huang High School,66,76,0,Government,2917,1910635,$645-680
178,Donna Wagner,F,10,Huang High School,97,60,0,Government,2917,1910635,$645-680
179,William Kennedy,M,11,Huang High School,58,65,0,Government,2917,1910635,$645-680
180,Kimberly Martinez,F,11,Huang High School,71,50,0,Government,2917,1910635,$645-680
181,Matthew Anderson,M,11,Huang High School,97,63,0,Government,2917,1910635,$645-680
182,Kari Miller,F,9,Huang High School,81,96,0,Government,2917,1910635,$645-680
183,Jenna Luna,F,9,Huang High School,99,94,0,Government,2917,1910635,$645-680
184,Justin Contreras,M,12,Huang High School,57,54,0,Government,2917,1910635,$645-680
185,Mary Fox,F,11,Huang High School,85,85,0,Government,2917,1910635,$645-680
186,Joseph Perkins,M,10,Huang High School,94,62,0,Government,2917,1910635,$645-680
187,Kelly Phillips,F,12,Huang High School,50,49,0,Government,2917,1910635,$645-680
188,Justin Thornton,M,11,Huang High School,40,67,0,Government,2917,1910635,$645-680
189,Joshua Barber,M,10,Huang High School,73,47,0,Government,2917,1910635,$645-680
190,Travis Jackson,M,11,Huang High School,71,77,0,Government,2917,1910635,$645-680
191,Jordan Beasley,F,10,Huang High School,48,48,0,Government,2917,1910635,$645-680
192,Kevin Allen,M,12,Huang High School,88,81,0,Government,2917,1910635,$645-680
193,Victoria Harris,F,11,Huang High School,86,48,0,Government,2917,1910635,$645-680
194,Victoria Joseph,F,12,Huang High School,64,59,0,Government,2917,1910635,$645-680
195,Brandy Marshall,F,11,Huang High School,52,39,0,Government,2917,1910635,$645-680
196,Ryan Jimenez,M,11,Huang High School,94,79,0,Government,2917,1910635,$645-680
197,Michael Chan,M,9,Huang High School,74,47,0,Government,2917,1910635,$645-680
198,Christopher Phillips,M,9,Huang High School,96,96,0,Government,2917,1910635,$645-680
199,Kevin Murphy,M,10,Huang High School,74,45,0,Government,2917,1910635,$645-680
200,Vanessa Harper,F,12,Huang High School,47,61,0,Government,2917,1910635,$645-680
201,James Ferguson,M,9,Huang High School,44,76,0,Government,2917,1910635,$645-680
202,Carol Schroeder,F,12,Huang High School,44,63,0,Government,2917,1910635,$645-680
203,Jerry Phillips,M,10,Huang High School,70,45,0,Government,2917,1910635,$645-680
204,Kristin Wade,F,9,Huang High School,87,55,0,Government,2917,1910635,$645-680
205,Jessica Warner,F,11,Huang High School,83,94,0,Government,2917,1910635,$645-680
206,Dorothy Burke,F,11,Huang High School,92,87,0,Government,2917,1910635,$645-680
207,Bethany Walter,F,9,Huang High School,63,67,0,Government,2917,1910635,$645-680
208,Melissa Avery,F,9,Huang High School,59,50,0,Government,2917,1910635,$645-680
209,Daniel Sutton,M,11,Huang High School,92,85,0,Government,2917,1910635,$645-680
210,Ryan Johnson,M,9,Huang High School,42,77,0,Government,2917,1910635,$645-680
211,Timothy Quinn,M,10,Huang High School,41,40,0,Government,2917,1910635,$645-680
212,Zachary Allen,M,10,Huang High School,97,53,0,Government,2917,1910635,$645-680
213,Lauren Schmitt,F,12,Huang High School,64,99,0,Government,2917,1910635,$645-680
214,Stephanie Armstrong,F,11,Huang High School,80,87,0,Government,2917,1910635,$645-680
215,Ruben Rivera,M,9,Huang High School,85,56,0,Government,2917,1910635,$645-680
216,Patricia Petty,F,12,Huang High School,99,59,0,Government,2917,1910635,$645-680
217,Joseph Jacobs,M,11,Huang High School,42,66,0,Government,2917,1910635,$645-680
218,Bianca Wilson,F,11,Huang High School,93,39,0,Government,2917,1910635,$645-680
219,Donald Perez,M,9,Huang High School,78,50,0,Government,2917,1910635,$645-680
220,Curtis Gomez,M,9,Huang High School,85,51,0,Government,2917,1910635,$645-680
221,Courtney Brown,F,9,Huang High School,79,91,0,Government,2917,1910635,$645-680
222,Nicole Randall,F,9,Huang High School,48,44,0,Government,2917,1910635,$645-680
223,Steven Lambert,M,11,Huang High School,85,91,0,Government,2917,1910635,$645-680
224,Anthony Alvarez,M,10,Huang High School,79,53,0,Government,2917,1910635,$645-680
225,Shawn Farrell,M,10,Huang High School,42,42,0,Government,2917,1910635,$645-680
226,Jesus Schmidt,M,9,Huang High School,92,61,0,Government,2917,1910635,$645-680
227,Laura Wright,F,12,Huang High School,90,60,0,Government,2917,1910635,$645-680
228,Steven Smith,M,11,Huang High School,50,78,0,Government,2917,1910635,$645-680
229,Norman Thompson,M,9,Huang High School,77,41,0,Government,2917,1910635,$645-680
230,Anthony Wright,M,10,Huang High School,53,82,0,Government,2917,1910635,$645-680
231,Kayla Watts,F,11,Huang High School,63,82,0,Government,2917,1910635,$645-680
232,Aimee Johnson,F,9,Huang High School,81,71,0,Government,2917,1910635,$645-680
233,Heidi Scott,F,12,Huang High School,80,53,0,Government,2917,1910635,$645-680
234,Anthony Williams,M,10,Huang High School,93,85,0,Government,2917,1910635,$645-680
235,Sarah Hill,F,12,Huang High School,41,57,0,Government,2917,1910635,$645-680
236,Kim Wang,F,9,Huang High School,84,85,0,Government,2917,1910635,$645-680
237,Beth Manning,F,11,Huang High School,99,61,0,Government,2917,1910635,$645-680
238,Ryan Hanson,M,12,Huang High School,40,98,0,Government,2917,1910635,$645-680
239,James Wood,M,9,Huang High School,95,40,0,Government,2917,1910635,$645-680
240,Corey Greene,M,10,Huang High School,75,55,0,Government,2917,1910635,$645-680
241,John Carter,M,11,Huang High School,85,54,0,Government,2917,1910635,$645-680
242,Beth Garza,F,11,Huang High School,73,69,0,Government,2917,1910635,$645-680
243,Karen Jones,F,9,Huang High School,41,63,0,Government,2917,1910635,$645-680
244,Stephanie Poole,F,10,Huang High School,74,97,0,Government,2917,1910635,$645-680
245,Lisa Brown,F,9,Huang High School,91,60,0,Government,2917,1910635,$645-680
246,Paul Scott,M,10,Huang High School,62,97,0,Government,2917,1910635,$645-680
247,Evelyn Buck,F,10,Huang High School,60,73,0,Government,2917,1910635,$645-680
248,Terry Harrell,M,9,Huang High School,69,76,0,Government,2917,1910635,$645-680
249,Leah Skinner,F,11,Huang High School,61,45,0,Government,2917,1910635,$645-680
250,Anthony Mercado,M,11,Huang High School,80,97,0,Government,2917,1910635,$645-680
251,Walter Kelly,M,9,Huang High School,52,82,0,Government,2917,1910635,$645-680
252,Lori Evans,F,10,Huang High School,75,66,0,Government,2917,1910635,$645-680
253,Ashley Jones,F,12,Huang High School,43,45,0,Government,2917,1910635,$645-680
254,Amber Soto,F,9,Huang High School,96,66,0,Government,2917,1910635,$645-680
255,Patrick Phillips,M,10,Huang High School,66,85,0,Government,2917,1910635,$645-680
256,Linda Curry,F,11,Huang High School,86,90,0,Government,2917,1910635,$645-680
257,Alexander Obrien,M,10,Huang High School,70,63,0,Government,2917,1910635,$645-680
258,Vincent Garza,M,10,Huang High School,69,48,0,Government,2917,1910635,$645-680
259,Terry Marsh,M,11,Huang High School,69,76,0,Government,2917,1910635,$645-680
260,Angela Perkins DVM,F,11,Huang High School,51,90,0,Government,2917,1910635,$645-680
261,Peter Hampton,M,9,Huang High School,62,68,0,Government,2917,1910635,$645-680
262,David Cross,M,11,Huang High School,90,71,0,Government,2917,1910635,$645-680
263,Clinton Ortega,M,10,Huang High School,56,59,0,Government,2917,1910635,$645-680
264,Jamie Escobar,F,10,Huang High School,88,57,0,Government,2917,1910635,$645-680
265,Sandra Mason,F,12,Huang High School,43,50,0,Government,2917,1910635,$645-680
266,Craig Cole,M,12,Huang High School,56,54,0,Government,2917,1910635,$645-680
267,Lisa Warren,F,12,Huang High School,85,93,0,Government,2917,1910635,$645-680
268,Maria Howard,F,9,Huang High School,77,98,0,Government,2917,1910635,$645-680
269,Michael Porter,M,11,Huang High School,62,87,0,Government,2917,1910635,$645-680
270,John Turner,M,11,Huang High School,39,74,0,Government,2917,1910635,$645-680
271,Timothy Wang,M,12,Huang High School,64,93,0,Government,2917,1910635,$645-680
272,Amanda Taylor,F,9,Huang High School,99,53,0,Government,2917,1910635,$645-680
273,Karen Mckenzie,F,9,Huang High School,79,91,0,Government,2917,1910635,$645-680
274,Brandon Miles,M,11,Huang High School,80,96,0,Government,2917,1910635,$645-680
275,Christina Whitaker,F,12,Huang High School,64,61,0,Government,2917,1910635,$645-680
276,Nicole Peterson,F,9,Huang High School,40,66,0,Government,2917,1910635,$645-680
277,Ashley Moore,F,9,Huang High School,93,82,0,Government,2917,1910635,$645-680
278,Todd Carrillo,M,10,Huang High School,76,82,0,Government,2917,1910635,$645-680
279,Robert Williams,M,10,Huang High School,72,73,0,Government,2917,1910635,$645-680
280,Ashley Jones,F,9,Huang High School,46,55,0,Government,2917,1910635,$645-680
281,Vanessa Parker,F,9,Huang High School,39,91,0,Government,2917,1910635,$645-680
282,Robert Carlson,M,12,Huang High School,55,43,0,Government,2917,1910635,$645-680
283,Jared Lewis,M,10,Huang High School,52,48,0,Government,2917,1910635,$645-680
284,Christopher Hernandez,M,10,Huang High School,73,51,0,Government,2917,1910635,$645-680
285,Kimberly Harris,F,9,Huang High School,84,88,0,Government,2917,1910635,$645-680
286,Katrina Hill,F,10,Huang High School,67,92,0,Government,2917,1910635,$645-680
287,Heather Lee,F,9,Huang High School,89,87,0,Government,2917,1910635,$645-680
288,Donald Harmon,M,11,Huang High School,77,81,0,Government,2917,1910635,$645-680
289,Elizabeth Sanders,F,10,Huang High School,56,85,0,Government,2917,1910635,$645-680
290,Richard Ramsey,M,12,Huang High School,79,87,0,Government,2917,1910635,$645-680
291,Carmen Johnson,F,12,Huang High School,50,63,0,Government,2917,1910635,$645-680
292,Elaine Osborne,F,10,Huang High School,43,92,0,Government,2917,1910635,$645-680
293,Kent Burns,M,9,Huang High School,81,86,0,Government,2917,1910635,$645-680
294,Meagan Smith,F,11,Huang High School,39,66,0,Government,2917,1910635,$645-680
295,Craig Hahn,M,9,Huang High School,50,73,0,Government,2917,1910635,$645-680
296,Jeremy Wu,M,11,Huang High School,42,94,0,Government,2917,1910635,$645-680
297,Aaron Rodriguez,M,11,Huang High School,77,83,0,Government,2917,1910635,$645-680
298,Matthew Taylor,M,10,Huang High School,46,48,0,Government,2917,1910635,$645-680
299,Diana Evans,F,11,Huang High School,78,82,0,Government,2917,1910635,$645-680
300,Michele Pearson,F,12,Huang High School,54,83,0,Government,2917,1910635,$645-680
301,Erik Wagner,M,12,Huang High School,65,89,0,Government,2917,1910635,$645-680
302,Maria Welch,F,12,Huang High School,67,55,0,Government,2917,1910635,$645-680
303,Debra Martin,F,12,Huang High School,86,69,0,Government,2917,1910635,$645-680
304,Devon Conner,M,9,Huang High School,69,96,0,Government,2917,1910635,$645-680
305,Christine Patel,F,9,Huang High School,96,95,0,Government,2917,1910635,$645-680
306,David Lopez,M,9,Huang High School,49,81,0,Government,2917,1910635,$645-680
307,Nathan Baird,M,11,Huang High School,87,43,0,Government,2917,1910635,$645-680
308,Samuel Castillo,M,11,Huang High School,93,86,0,Government,2917,1910635,$645-680
309,Rebecca Payne,F,11,Huang High School,63,91,0,Government,2917,1910635,$645-680
310,Carl Johnson,M,10,Huang High School,64,56,0,Government,2917,1910635,$645-680
311,William Adams,M,12,Huang High School,94,45,0,Government,2917,1910635,$645-680
312,Paula Harrison,F,11,Huang High School,65,57,0,Government,2917,1910635,$645-680
313,Wayne Atkinson,M,11,Huang High School,93,55,0,Government,2917,1910635,$645-680
314,Lindsay Frank,F,9,Huang High School,55,73,0,Government,2917,1910635,$645-680
315,Jose Garcia,M,10,Huang High School,94,88,0,Government,2917,1910635,$645-680
316,Andrew Gaines,M,12,Huang High School,73,71,0,Government,2917,1910635,$645-680
317,Rachael Liu,F,10,Huang High School,41,40,0,Government,2917,1910635,$645-680
318,Donald Lewis,M,11,Huang High School,67,62,0,Government,2917,1910635,$645-680
319,Shane Edwards,M,9,Huang High School,73,70,0,Government,2917,1910635,$645-680
320,Todd Levy,M,12,Huang High School,90,62,0,Government,2917,1910635,$645-680
321,Joanna Moore,F,10,Huang High School,71,64,0,Government,2917,1910635,$645-680
322,Michael Lewis,M,9,Huang High School,40,44,0,Government,2917,1910635,$645-680
323,James Robinson,M,9,Huang High School,60,86,0,Government,2917,1910635,$645-680
324,Jeffrey Arellano,M,9,Huang High School,80,65,0,Government,2917,1910635,$645-680
325,Heather Allen MD,F,11,Huang High School,95,43,0,Government,2917,1910635,$645-680
326,Lori Villarreal,F,9,Huang High School,60,93,0,Government,2917,1910635,$645-680
327,Robert Harper,M,12,Huang High School,62,54,0,Government,2917,1910635,$645-680
328,Karen Villegas,F,9,Huang High School,71,80,0,Government,2917,1910635,$645-680
329,Tracey Crane,F,9,Huang High School,91,87,0,Government,2917,1910635,$645-680
330,Elizabeth Allen,F,9,Huang High School,50,69,0,Government,2917,1910635,$645-680
331,Jorge Lynn,M,11,Huang High School,76,48,0,Government,2917,1910635,$645-680
332,Harold Gordon,M,11,Huang High School,96,83,0,Government,2917,1910635,$645-680
333,Nicholas Mcclain,M,9,Huang High School,46,47,0,Government,2917,1910635,$645-680
334,Tanya Harris,F,11,Huang High School,47,99,0,Government,2917,1910635,$645-680
335,Amy Smith,F,12,Huang High School,51,79,0,Government,2917,1910635,$645-680
